url	mood	animal	apartment_building	art	auto	baby	banister	beach	bed	bedroom	bird_feeder	black_hair	blossom	bonfire	building	bus	cable_car	campfire	camping	car	cardboard	child	citrus	cloud	coast_guard	coconut	coffee_table	concrete	condo	cone	corner	crowd	cumulus	curtain	dance	dark_hair	diary	diner	dinner	ditch	drink	drinking	eating	face	factory	female	field	figurine	fire	flower	food	football	fountain	freeway	fruit	furniture	game	garden	girl	glass	grass	grassland	hair	handrail	high_rise	housing	inflatable	intersection	keyboard	land	light_fixture	lighting	market	marsh	meal	miniskirt	model	motor	motorcycle	ocean	outdoors	palm_tree	path	pedestrian	people	person	plant	playground	plush	refinery	restaurant	river	road	roof	sea	shack	shelter	sidewalk	skirt	sky	soccer	solar_panels	sunset	table	teddy_bear	tent	tile_roof	train	tree	trolley	vehicle	walkway	water	wood	worker	yard
http://orig13.deviantart.net/e578/f/2011/007/3/9/the_view_from_the_farm_by_theartist_guy-d36oci3.jpg	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8554	0.8554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://airmauritius1.wpengine.netdna-cdn.com/wp-content/uploads/2014/05/My-favourite-beach-view-VHL.jpg	2	0	0	0	0	0	0	0.9412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9412	0.9412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.cdc.gov/stroke/images/family_history.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7295	0	0.7295	0	0	0	0	0	0	0	0	0	0	0	0	0.7295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.google.co.jp/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0CAQQjBxqFQoTCNLQw8fwvMcCFYXYpgodl4QBAA&url=http%3A%2F%2Fromanticgestures.co.nz%2Fwp-content%2Fuploads%2F2014%2F07%2Fhappy-beach-couple.jpg&ei=UITYVdLoDIWxmwWXiQY&psig=AFQjCNGlFGlFQnUIwWUpPDcP75wt69GLkw&ust=1440339394573315	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://pds.exblog.jp/pds/1/201303/14/26/a0078126_8521338.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6466	0	0	0	0	0	0	0	0	0	0	0	0.6893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://pds.exblog.jp/pds/1/201201/15/15/b0170715_22574175.jpg	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7661	0	0	0	0	0	0	0	0	0.7661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.hotel-kg.jp/tourist/2006_04230242.JPG	2	0	0	0	0	0	0	0	0	0	0	0	0.8016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.google.co.jp/search?q=serious&newwindow=1&espv=2&biw=1198&bih=638&source=lnms&tbm=isch&sa=X&ved=0CAYQ_AUoAWoVChMIhdf10_O8xwIVASmUCh3Qrwi8#newwindow=1&tbm=isch&q=%E8%8A%B1&imgrc=OIjsLciVSThUCM%3A	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.cityofdreamsmacau.com/sites/default/files/styles/gallery_main_552x294/public/entertainment/entertainment_club_cubic_05.jpg	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.hankyu-dept.co.jp/image/asobuki2.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
